id,name,display_name,formatted_address,short_formatted_address,postal_code,latitude,longitude,rating,user_rating_count,price_level,price_range_start,price_range_start_currency,price_range_end,price_range_end_currency,primary_type,takeout,delivery,dine_in,curbside_pickup,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_brunch,serves_vegetarian_food,outdoor_seating,live_music,menu_for_children,serves_cocktails,serves_dessert,serves_coffee,good_for_children,allows_dogs,restroom,good_for_groups,good_for_watching_sports,accepts_debit_cards,accepts_cash_only,accepts_nfc,free_parking_lot,free_street_parking,valet_parking,wheelchair_accessible_parking,wheelchair_accessible_entrance,wheelchair_accessible_restroom,wheelchair_accessible_seating
ChIJa4LQ1v9ZwokRNpyQkQ1vjNg,places/ChIJa4LQ1v9ZwokRNpyQkQ1vjNg,STK Rooftop,"26 Little W 12th St, New York, NY 10014, USA","26 Little W 12th St, New York",10014,40.739936799999995,-74.00725419999999,4.6,540,,100,USD,,,Steak House,,False,True,,True,,True,True,True,True,True,,True,False,False,True,True,True,False,,True,True,False,True,False,,,,,,True,,True
ChIJ63HXyYhZwokRHzL3PhUfs8s,places/ChIJ63HXyYhZwokRHzL3PhUfs8s,Balaboosta,"611 Hudson St, New York, NY 10014, USA","611 Hudson St, New York",10014,40.737673300000004,-74.00588929999999,4.4,887,PRICE_LEVEL_EXPENSIVE,50,USD,100,USD,Restaurant,True,True,True,,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,,False,True,False,True,,,False,False,True,True,True
ChIJZY-q_uFZwokRSJ8hpK_vV_A,places/ChIJZY-q_uFZwokRSJ8hpK_vV_A,The Lavaux,"630 Hudson St, New York, NY 10014, USA","630 Hudson St, New York",10014,40.7383739,-74.0053442,4.7,365,,50,USD,100,USD,Wine Bar,True,True,True,False,True,,,True,True,True,,True,True,False,,True,True,True,True,,True,True,False,True,False,True,,,False,False,True,True,True
ChIJz3mf-r9ZwokRm8hYnrceGC0,places/ChIJz3mf-r9ZwokRm8hYnrceGC0,sweetgreen,"32 Gansevoort St, New York, NY 10014, USA","32 Gansevoort St, New York",10014,40.7391831,-74.00585869999999,4.3,425,PRICE_LEVEL_MODERATE,10,USD,20,USD,Restaurant,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,,,True,,False,True,False,True,,,False,,True,True,True
ChIJBTRVgQNZwokRCZlgLnLCbvg,places/ChIJBTRVgQNZwokRCZlgLnLCbvg,maman,"800 Washington St, New York, NY 10014, USA","800 Washington St, New York",10014,40.7389377,-74.0082583,4.2,234,PRICE_LEVEL_MODERATE,10,USD,20,USD,Coffee Shop,True,True,True,False,False,True,True,,,,True,,,False,True,,True,True,,,True,,False,True,False,True,,,,False,True,,True
ChIJR26eCcBZwokRtZvzgo1FEfQ,places/ChIJR26eCcBZwokRtZvzgo1FEfQ,Serafina Meatpacking,"7 9th Ave, New York, NY 10014, USA","7 9th Ave, New York",10014,40.739633,-74.00665699999999,3.9,1020,PRICE_LEVEL_MODERATE,30,USD,50,USD,Restaurant,True,True,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,True,False,True,,,False,False,True,True,True
ChIJR1pTRTxawokRyzoX5XQ_alI,places/ChIJR1pTRTxawokRyzoX5XQ_alI,Pier 17,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.705573,-74.00145669999999,4.6,11036,,,,,,Event Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,
ChIJ7ek7qdRbwokRt3sVsitU9r4,places/ChIJ7ek7qdRbwokRt3sVsitU9r4,Watermark,"78 South St Pier 15, New York, NY 10038, USA","78 South St Pier 15, New York",10038,40.704516999999996,-74.003123,4.1,2574,PRICE_LEVEL_MODERATE,,,,,Restaurant,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,False,True,,True,False,True,True,True,True
ChIJcaQCwD1awokRuJEpTiEWOtw,places/ChIJcaQCwD1awokRuJEpTiEWOtw,Industry Kitchen,"70 South St, New York, NY 10005, USA","70 South St, New York",10005,40.7048797,-74.0047601,4.3,3226,PRICE_LEVEL_MODERATE,30,USD,50,USD,American Restaurant,True,True,True,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,False,True,False,True,,,False,,True,True,True
ChIJBaD9A0ZbwokRu6ArQW3Nj1E,places/ChIJBaD9A0ZbwokRu6ArQW3Nj1E,Carne Mare,"89 South St, New York, NY 10038, USA","89 South St, New York",10038,40.705645,-74.0021484,4.5,684,PRICE_LEVEL_EXPENSIVE,100,USD,,,Restaurant,True,True,True,,True,,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,True,,,,,True,True,True
